id,name,host_id,host_name,number_of_reviews,last_review,reviews_per_month,Rating
842494,Charming Studio Near Central Park!,148545,Lisa,1,09-11-2013,0.01,2.2
867749,Sunny 2 bedroom in Prospect heights + terrace,745186,Chiara,1,19-07-2015,0.02,3.5
887355,2 bedrooms 5-star building midtown ,4705358,D,1,25-03-2015,0.02,4
919990,2 Bedroom Apt in Caroll Gardens,4629954,Sarah,1,03-01-2017,0.03,1.2
944183,your holiday-ready Harlem home away from home!,3361696,Lindsay,1,02-01-2018,0.05,1.3
981410,Sunny Studio in the West Village,5374768,Maria,1,09-04-2013,0.01,0.7
992977,Park Slope Pre-War Apartment,4000059,Shahdiya,1,01-08-2013,0.01,3.5
995215,Upper West Side Amazing Large 2 Bedrooms,3038687,Karen,1,05-10-2014,0.02,4.4
995469,Beautiful Large Furnished Bedroom on UES,5468901,Sanya,1,22-12-2015,0.02,4
1000788,Modern Lux 1 br near 2/3/4/5 Trains,4797532,Priscilla,1,29-10-2015,0.02,3.8
1021005,Cute Bedroom in Clinton Hill,5619749,Jen,1,03-01-2017,0.03,0.2
1039435,"Lovely studio in Manhattan,New York",5709288,Fabia,1,02-01-2015,0.02,0.1
1115381,Private Room & Balcony in New York,6121678,Kamala,1,12-09-2015,0.02,1.5
1123934,Sunny 1BR Apt in N. Williasmburg,6164428,Bjarke And Holly,1,09-01-2015,0.02,0.5
1126944,Private Home w/ Parking in Brooklyn,128663,Tina,1,01-01-2015,0.02,3.5
1150514,Lovely Entire Apt in Prime Brooklyn,4376062,Eliza,1,24-05-2013,0.01,4.6
1151582,Quiet & Convenient Upper East Side ,364351,Katie,1,07-11-2016,0.03,3.8
1194508,Sunny room - Prime Location,6527494,Mar,1,01-07-2016,0.03,0.7
1215836,Prospect Park Apt,6533489,Ryan,1,22-06-2017,0.04,0
1229484,SUNNY AND COZY BEDROOM IN BROOKLYN!,6706914,Leanne,1,01-08-2015,0.02,1.3
1270324,Clean & Sunny Clinton Hill/Bed room,5619749,Jen,1,01-01-2017,0.03,4.1
1271103,Lovely spacious 1 Bdrm in Ridgewood,2243431,Marcelle,1,16-03-2015,0.02,4
1277955,Gorgeous Windsor Terrace home,836911,Cathy,1,17-05-2014,0.02,0.2
1291020,One family  house sublet August 1st to August 31,6602545,Eleni,1,19-06-2019,1,1.4
1294721,Skylight Apartment Williamsburg,306825,Jesse,1,22-09-2014,0.02,3.8
1303850,Private spacious studio,2687920,Ikk,1,27-10-2018,0.12,0.5
1351427,Charming New 3br House+bkyard BRKLN,6414252,Arza,1,03-04-2015,0.02,3.4
1416631,Family-Friendly Artist Loft in West Village,7633037,Jesse,1,01-09-2018,0.1,3.3
1427518,"Spacious, amenity-filled 1 BDR Williamsburg Apt",7654662,Elizabeth,1,07-09-2013,0.01,2.5
1449263,Beautiful Brooklyn Brownstone Apt,7777902,Zachary,1,04-05-2016,0.03,0.3
1455804,One Bedroom Apt Near Central Park,4028305,Abigail,1,28-10-2017,0.05,1.4
1466688,Bright Apartment In Williamsburg,7856381,Jp,1,17-05-2015,0.02,4
1480002,Huge rm in 1500sq ft loft w/lots ,7919277,Daren,1,16-09-2013,0.01,3.8
1489426,New york Multi-unit building,7964729,Justin,1,13-09-2018,0.1,1.5
1519994,McSimon's | Queen Room | 10 mins from JFK,8113165,Cynthia And Froebel,1,04-01-2019,0.16,4.3
1589248,Hip Apartment in Williamsburg,8255208,Kate,1,16-07-2015,0.02,2.1
1598033,Staten Island Apartment - 2nd floor,7875272,Mary,1,07-10-2015,0.02,3.4
1620225,Charming studio in Williamsburg,8619862,Karlee,1,18-07-2016,0.03,2.8
1623431,Enormous Chrysler-View Bedroom/Bath,5440087,Dn,1,30-09-2015,0.02,2.4
1633313,Bohemian W'Burg Duplex,8677042,Malcolm,1,26-12-2018,0.15,1.1
1646910,"Bright, Cheerful Brooklyn Apartment",2899693,Kali,1,10-08-2014,0.02,1.7
1650470,Spacious room in Bushwick L & JMZ !,8753908,Rebecca,1,01-06-2015,0.02,4.9
1654561,Cozy room in bed-stuy,8773518,Robb,1,09-04-2019,0.33,1.9
1781052,CELEBRATE NEW YEAR'S EVE IN NYC,9348961,Colleen,1,03-01-2016,0.02,0.4
1812111,Spacious Parkside View Bedroom,2621935,Jennifer,1,16-11-2015,0.02,3.1
1844792,Clean Cute and Cozy Harlem Apt,9638204,Teresa,1,11-09-2016,0.03,2.2
1881586,"Spacious, Sunny, 1br in Midtown East with doorman",9795610,Joel,1,01-01-2018,0.05,4
1903288,Beautiful and spacious  bedroom in Williamsburg,7849107,Nicholas,1,26-08-2017,0.04,0.6
1908767,Large Bedroom in the East Village,9888877,Jessica,1,15-12-2013,0.01,3.6
1922448,Sunny bedroom in Williamsburg,8740210,Angelica,1,13-11-2015,0.02,2.2
1925519,Sublet: $490/Wk,2765870,Amarie2131,1,01-11-2015,0.02,3.9
1929041,BEST PRICE - WILLIAMSBURG 1 ROOM,9265204,Gianni,1,06-09-2015,0.02,2.5
1934765,"One Bedroom Apt, Suitable for Two",10012271,Karmesha,1,01-01-2015,0.02,0.2
1935175,cute 2BD apt in greenpoint,239829,Lauren,1,16-08-2016,0.03,3.2
1935826,"Priv room in 3 bdrm apt - Room ""C""",9207223,Ryan,1,14-10-2015,0.02,3.1
1956346,THE HEART OF COOL WILLIAMSBURG NYC,5278115,Marc,1,02-01-2015,0.02,3.1
1965766,LARGE Studio in elevator building!,10153970,Lindsay,1,11-04-2016,0.03,1.8
1979506,Cozy duplex on the Upper East side!,10071119,Nora,1,02-01-2014,0.01,3.7
1987949,3 Bedroom Apt. in Washington Height,10252755,Lauren,1,02-01-2014,0.01,5
2024991,Beautiful king-size 1-bedroom with balcony,10362054,Mary,1,01-01-2018,0.05,1.9
2028391,"Soho Penthouse Loft, Terrace & View",10417911,Nisian,1,23-07-2015,0.02,4.4
2037508,Bed Stuy Apartment One Bedroom,10211848,Ben,1,03-01-2014,0.01,0.8
2041143,Perfect for Visiting Family,10468616,Sara,1,28-08-2016,0.03,2.2
2048796,Sunnyside Gardens Oasis!,763439,Joel,1,12-08-2017,0.04,0.8
2050993,"Noho East Vill Lux Bldg w/Gym,Pool ",4836650,Kris,1,07-09-2014,0.02,3.8
2056307,1 room in HUGE 2Bedroom/1.5 Bath,1584064,Adrienne,1,27-09-2015,0.02,3.6
2060275,NoHa Living,10545845,Evan,1,14-12-2013,0.01,0.7
2062630,Large 1 bedroom apartment (shared),6313448,Lexy,1,19-08-2014,0.02,3.8
2076101,Cozy 1BR in Morningside Heights,10610482,Robyn,1,20-03-2016,0.02,4.2
2081408,Cozy Sun Drenched Crown Heights Apt,318435,Rose,1,08-01-2015,0.02,3.8
2081850,"Huge, gorgeous apt in Harlem, NYC",1657228,Aktina,1,13-01-2014,0.01,4.6
2082694,Brand New 3BR Apartment,10638711,Corey,1,02-01-2014,0.01,4.3
2102651,Central Park West Studio Value,10721586,Dana,1,02-06-2014,0.02,2.9
2135116,"Downtown, close to every subway!",2382974,Chris,1,25-05-2017,0.04,4.4
2141635,"Room in Soho, Manhattan",10929586,Chad,1,23-04-2014,0.02,4.5
2144319,"Cheap, furnished private room",10945216,Rebecca,1,04-01-2014,0.01,0.7
2155345,Bushwick Bungalow,10995590,Cat,1,14-10-2015,0.02,2.2
2172139,Modern Apt Steps from Central Park,10096792,Alex,1,26-04-2019,0.41,0.9
2196271,Bright Dble Bedroom. Private Bath. Close to Subway,396599,Thomas,1,28-12-2018,0.16,4.7
2214978,Beautiful City Oasis 2BR/1.5 BATH ,11257635,T,1,14-09-2014,0.02,2.7
2222641,Charming West Village 1 Bed - Ideal Location,11340369,Rachel,1,30-06-2019,1,0.1
2238300,"Peaceful home, friendly area!",249753,Penny,1,06-01-2018,0.05,0.2
2251009,Bedroom in Huge Apt on St. Marks,4265028,Jordan,1,24-02-2016,0.02,4.9
2254541,Private Bedroom in Williamsburg!,6060700,Kevin,1,20-08-2014,0.02,4.5
2262868,Consider it home,11163915,Marie-HÃ©lÃ¨ne & Rick,1,24-08-2014,0.02,2
2263248,Large 1 bedroom,11557572,William,1,01-10-2015,0.02,4.1
2273733,Heart of the West Village!,8730513,Corey,1,18-05-2018,0.07,2
2299633,Ritz-Plaza - 2 bedroom / 2 fullbath,11747009,Troy,1,09-10-2015,0.02,2.4
2310542,Hamilton Heights/Harlem Private Bedroom with Roof,7317241,Tim,1,16-05-2019,0.56,0.8
2365645,"Quiet Apartment in Williamsburg, Bk",7881738,Michele,1,12-01-2016,0.02,3.9
2412916,"Elegant Brooklyn Comfort, One Bedroom",4183222,James,1,10-06-2014,0.02,3.3
2425222,Luxury Alcove Studio Apt in TriBeCa,12394900,Alice,1,05-01-2016,0.02,3.9
2453730,"Sunny, charming duplex in best Brooklyn 'hood",10232293,Georgia,1,05-07-2019,1,1.5
2458656,Beautiful 1br loft in Brooklyn,7503643,Vida,1,14-04-2018,0.07,4.1
2460303,Charming Brooklyn Brownstone,12579916,Andrea,1,09-06-2014,0.02,3
2513351,Bright and Open Astoria Apartment!,12864943,Tegan,1,06-04-2015,0.02,0.1
2516430,Lg Private Rm 10mins to Manhattan,10440985,Jimmy,1,31-07-2016,0.03,1.8
2519255,Beautiful Brooklyn Room,808206,Brenna,1,11-04-2014,0.02,2.7
2519770,2-3 bedroom apt in Astoria NYC,12899510,Solange,1,28-08-2014,0.02,1.4
2526152,"Sunny, Child Friendly Loft. ",11825464,SirRoan,1,02-05-2014,0.02,3.4
2532068,Beautiful Prewar UWS Apartment,12967572,Laura,1,01-09-2015,0.02,2.3
2560559,Sunny Private Room Near Prospect Pk,2766490,Daisy,1,03-01-2016,0.02,2.3
2563764,Huge room in South Prospect Park,13125674,Yago,1,20-06-2018,0.08,1
2592640,Great room with awesome amenities!,13272957,Johnny,1,28-03-2014,0.02,2.8
2613864,Sunny Studio NYC West 50's,6222620,Joe,1,24-04-2014,0.02,3.4
2619549,"Charming, Modern 2BR | Central Park",13347167,AFI Apartments,1,30-09-2018,0.11,0.7
2636532,GORGEOUS Newly-Renovated 2-BR Flat,13347167,AFI Apartments,1,13-08-2016,0.03,1.6
2644321,"Bright, comfy 1 Bedroom apt in Manhattan",4294396,AngÃ©lique,1,08-01-2016,0.02,1.5
2652865,Classic Upper West Side Getaway!,9951993,Jason,1,20-11-2017,0.05,2.3
2671737,Private room in shared 2BR,8212880,Micky,1,22-04-2014,0.02,0.8
2685701,Spectacular Williamsburg 2 BR Loft,1602568,Thomas,1,07-08-2014,0.02,3.7
2687083,Cozy 1Bdr in Bed Stuy/Clinton Hill,5283121,Sarah,1,14-08-2018,0.09,4.5
2690370,Spectacular Views of Mid-Town,480923,Diane,1,04-08-2014,0.02,3.2
2722693,Luxury High Rise Near Central Park,3280997,Scott,1,05-05-2014,0.02,1.3
2727766,Convenient Private Room in Spanish Harlem (SpaHa),4992804,Zachary,1,17-04-2014,0.02,0.5
2728293,East Village w/ Private Bathroom & Roof & Elevator,12511213,Vijay,1,13-06-2016,0.03,1.5
2739577,Current Location,12082653,Taylor,1,29-05-2014,0.02,4.7
2783468,Nice 1 Bedroom in Lovely Building,3187645,Ken,1,28-04-2014,0.02,1.9
2784311,"1 Bedroom East Village, NYC",10870477,Henriette,1,25-05-2018,0.07,4
2788298,Fort Greene Perfect Location,14262697,Eric,1,19-05-2015,0.02,5
2794725,LOOK! Attached single family,14295613,Skylar,1,19-04-2014,0.02,4.1
2794762,Beautiful Sunny fully Furnished Studio,251842,Virginie,1,28-04-2017,0.04,4.7
2803013,Columbus Circle/Central Park - WIFI,8497788,Cyn,1,04-10-2014,0.02,0.6
2803944,Lovely Private Bedroom in 2BR Apt,3181226,Emily,1,05-09-2015,0.02,4.7
2804557,Cozy bedroom in shared 2br apt,8741682,Ines,1,25-04-2015,0.02,3.9
2804989,"Sunny, colorful, 1BD close to city ",2918667,Neisha,1,27-05-2014,0.02,4.3
2821079,Spacious 1 BR apt in the UWS,2333304,Roger,1,15-07-2014,0.02,0.4
2835159,Large studio,7915183,Alfonso,1,19-05-2014,0.02,3.9
2918732,West Chelsea Brownstone Apartment,4619132,Merrill,1,13-06-2014,0.02,1.8
2947668,Location  Queen Elena,3250450,Petya,1,28-06-2019,1,2.4
2953058,Film Location,1177497,Jessica,1,15-09-2016,0.03,3.8
2967631,Upper East Side 1BR,15141764,Kevin,1,28-09-2015,0.02,4.9
2979097,Perfect NYC Flat! Modern!,13347167,AFI Apartments,1,04-02-2017,0.03,0
2995209,"NEW! Gorgeous 1-BR, Colorful Design",13347167,AFI Apartments,1,14-06-2014,0.02,2.2
3004563,The spot,15303460,Emma,1,08-06-2019,0.94,4.3
3041280,Crown Heights Duplex Apt.,4401973,Juan Felipe,1,30-06-2015,0.02,1.4
3060745,"Furnished Sublet, Manhattan, Harlem",7101220,David,1,31-07-2015,0.02,4.9
3083899,Charming Studio on Upper West Side,15638528,Lindsey,1,10-07-2014,0.02,3.3
3091872,Beautiful private 2 bedroom in prime Greenpoint,2308616,Rebecca,1,07-08-2017,0.04,3.3
3095502,Cozy 1BR Apartment by Subway,10930874,Tyler,1,04-09-2014,0.02,0.3
3106154,"Safe, Cozy, Cute and Cheap",2885147,Marty,1,24-05-2014,0.02,2.9
3157330,"clean, casual 2BD apt in bed-stuy!",9105586,Marc,1,12-02-2015,0.02,0.8
3168120,SPACIOUS & SUNNY East Village Gem,16069958,Nicholas,1,30-06-2014,0.02,1.8
3181376,"Homey, inviting 1BR w/ lots of room",8158276,Matthew,1,03-01-2016,0.02,2
3200198,Hell's Kitchen One Bedroom (near Times Square),16217769,Karlan,1,02-01-2017,0.03,1
3209866,"Cozy 1br - Fort Greene, Brooklyn",16258619,Folake,1,17-09-2014,0.02,3.9
3249253,Panoramic Penthouse - 30% OFF,14369316,Jon,1,28-06-2014,0.02,1.7
3249726,"High Ceilings, Period Details",16437254,Benjamin,1,07-12-2018,0.14,2
3281660,Penthouse next to Central Park !,418289,Andrey,1,06-06-2017,0.04,2.5
3332881,Apartment near Upper East Side,16826094,Jeremy,1,15-05-2016,0.03,4.7
3344509,Beautiful Chelsea Loft 700 Sq ft,1290508,Robert,1,03-01-2017,0.03,2.7
3351584,Amazing Oasis in NYC!,455017,Lauren,1,25-05-2019,0.67,0.3
3354367,Beautiful Brooklyn Heights Share,8882019,Katherine,1,01-10-2015,0.02,2.9
3369826,Quant 1bdrm in midtown west,17001535,Paul,1,24-09-2014,0.02,4.8
3372925,Beautiful Summer Sublet in Ditmas Park Brooklyn,17018997,Paul,1,03-07-2017,0.04,0.8
3395697,Two-Floor Apartment on Upper West,17132728,Nick,1,22-09-2016,0.03,2.8
3411912,"Charming Apt, Perfect for Couples!",2574806,Liz,1,09-12-2015,0.02,0.7
3423032,"Cozy 1 BD in Astoria, City Bike & NYFerry nearby",12483101,FLora,1,25-08-2018,0.09,0.9
3424458,Sun-soaked 1BR in Park Slope with amazing NYC view,17247205,Laura,1,31-10-2017,0.05,4.1
3432660,"Neat, Classy, and Simple.",17299359,Lionel,1,24-10-2014,0.02,2.4
3435260,Private Sunny Room in Park Slope,17315514,Ana,1,08-11-2016,0.03,3.5
3442067,Spacious Studio in Luxury Building,17198795,Julie,1,28-09-2015,0.02,0.8
3457770,Cute 1 BR in the Lower East Side,9604972,Alexia,1,09-08-2014,0.02,1.8
3468486,2br with Balcony in East Harlem!,17475146,C,1,28-07-2014,0.02,1.4
3485146,"Sun Soaked, NYC Brownstone Apt",6707119,Parnell,1,30-12-2014,0.02,0.6
3496438,NYC 1BD near Central Park & Shops,17604079,Meghan,1,05-08-2014,0.02,0.5
3544858,"Private room in Greenpoint, BK",7879349,Abby,1,18-08-2014,0.02,0.9
3575859,GREENWICH VILLAGE ROOM WITH PR.BATH (DM 4 monthly),1239959,Naz,1,23-09-2016,0.03,2.9
3593821,Bedroom in Williamsburg w/ Terrace,18105672,Eric,1,26-07-2015,0.02,2.1
3635624,Cozy 1BD in the lower east side,6050632,Yana,1,28-08-2014,0.02,2.5
3660983,Amazing LOFT in Prime Williamsburg,8182126,Maggie,1,14-05-2016,0.03,0.4
3720404,Sunny South Williamsburg Apartment,1363910,Emily,1,01-09-2014,0.02,4.9
3721826,Amazing apartment with your old private bathroom,19011946,John,1,15-09-2014,0.02,4.7
3731209,"Quaint, Quiet 1BD",19067223,Mohini,1,17-06-2015,0.02,1.9
3731965,Williamsburg Brooklyn quiet abode,7598755,Elliot,1,13-03-2016,0.02,1.1
3751919,A Fantastic Master Bedroom Suite in a 3BD apt,15270760,Ed,1,01-01-2018,0.05,1.7
3782283,HUGE space at the heart of Meatpacking - Chelsea .,7196556,Eilon,1,01-09-2014,0.02,4.7
3797183,Room in spacious Boerum Hill duplex,2538522,Emma,1,19-08-2014,0.02,2.4
3800549,Williamsburg Studio,810266,Jonathan,1,30-04-2015,0.02,3.9
3808358,Room 15. min from Midtown in Super Safe Area,19569282,Kay,1,16-08-2014,0.02,1.8
3841033,"Bright, clean studio by subway",9708374,AnaÃ¯s,1,09-01-2016,0.02,1.3
3848324,West Village apt - 2 Bedroom,11495251,(Email hidden by Airbnb),1,30-08-2014,0.02,2
3858105,Light and Airy top floor apartment ,5174082,Rebecca,1,25-08-2014,0.02,0.7
3889997,Prime West Village/Chelsea 1B SUPERB VIEW/Location,3150902,Dan,1,03-03-2018,0.06,4.7
3895289,Unique room in historic Greenpoint,20156576,Glenn,1,28-08-2014,0.02,3.4
3896579,1 Bedroom Apt in Chelsea,20171951,Mary,1,19-09-2015,0.02,1.8
3930842,1BR+BA IN LXRY CONDO W POOL+PARKING,1568383,Joshua,1,28-04-2019,0.42,4.1
3939041,Private cozy studio apartment,284199,Avijit,1,12-02-2018,0.06,0.6
3940301,1 bdrm in Washington Hgts-Park side,7837510,Anna,1,17-10-2014,0.02,0.2
3944499,Cozy Bedroom in Crown Heights Brooklyn,6771709,Lauren,1,18-09-2014,0.02,4.3
3946115,Large 3 bedroom on Upper West Side,20449763,Christine,1,30-12-2016,0.03,2.2
3948939,Comfy 1 bd/1 bath-Upper West Side,20464791,Olga,1,24-10-2014,0.02,0.9
3952731,Entire Flat in quiet neighborhood,20435679,Frank,1,26-09-2018,0.1,1.2
3962586,Sunny private room in Gramercy,20536249,Daphne,1,14-09-2014,0.02,0.6
3970562,In The Heart of The East Village,15309829,Natalie,1,01-01-2019,0.16,1
3970936,"Prime Gramercy, Luxury 1BD DOORMAN ",1475015,Mike,1,08-10-2014,0.02,2.9
3971580,Entire apartment 1st Floor,17576229,Mary,1,26-05-2018,0.07,0.6
3983422,Chelsea Home with a View,17546682,Angela,1,19-07-2018,0.08,3.2
4006264,Cozy Parkside 1 Bedroom Apartment,942933,David,1,25-09-2014,0.02,3.4
4016121,Located in the heart of NoLita.,14707270,Hamish,1,05-01-2016,0.02,1.7
4017226,Comfortable room in Brooklyn,20830484,LorcÃ¡n,1,21-09-2014,0.02,4.6
4020957,Sunny Room in Bedstuy,12876904,Marla,1,05-06-2015,0.02,0.9
4039020,"HUGE, PRIVATE BATH, STEPS FRM TRAIN",430188,Pam,1,14-09-2014,0.02,1.4
4039789,Harmonious Sanctuary near Yankee Stadium.,20945243,Michael,1,12-05-2017,0.04,3.8
4051643,Cozy Chic Uptown Home,21009723,Magen,1,02-06-2016,0.03,4.2
4055732,Stay in Clinton Hill sprout house!,12368114,Rachelle,1,07-06-2015,0.02,3.4
4084603,Prime East Village 1 Bedroom,7861502,Aviad,1,24-05-2015,0.02,2.2
4096470,THE THOMPSON SUITE,4065620,Debbie,1,01-07-2019,1,0.6
4119794,Large studio in Seaport Area,21371406,Anthony,1,01-01-2018,0.05,3.4
4121110,Upper West Side studio with private terrace,1923075,Andrew,1,19-10-2014,0.02,4.9
4137645,Beautiful Williamsburg Private Room,11134688,Noelle,1,23-09-2014,0.02,0.4
4157064,16' x 11' Furnished BR with Balcony,3563,Arnie,1,28-11-2014,0.02,1.7
4163710,Cozy private room in beautiful apt ,21609476,Beatrice,1,03-11-2014,0.02,2.1
4163742,Lovely 1BR in Ft. Greene,17451048,Ritchie,1,22-10-2016,0.03,2.8
4172633,Cozy one bedroom apt at the center of Astoria,21652004,June,1,03-07-2017,0.04,4
4174286,Bushwick BR/Private Bathroom,21660125,Chris,1,15-04-2016,0.03,4.9
4187653,Great Deal.,12360407,Firas,1,09-05-2015,0.02,2.9
4191257,Spacious 2 story Apt in Midtown!!,17106992,Alejandro,1,27-10-2014,0.02,1.4
4209595,,20700823,Jesse,1,01-01-2015,0.02,2.1
4217268,1 Bedroom Apartment in Washington Heights - Summer,21886798,Robert,1,12-08-2018,0.09,4.6
4232865,Beautiful Oasis,21964818,Anita,1,01-11-2015,0.02,0.4
4235961,Central 2 Bedroom in Chelsea,16276317,Lee,1,07-07-2016,0.03,1.2
4244476,Sunny and Funky Greenpoint Room,782008,Lori,1,10-07-2015,0.02,4.4
4244576,Very clean/comfortable shared room,21977919,Nathaniel,1,05-06-2015,0.02,2.7
